GTSE USA Competitors,,,
Company,Website,Location,Notes
Cable Tie Express,https://www.cabletieexpress.com,"Noblesville, IN",sell to distributors only
Cable Ties Unlimited ,https://www.cabletiesunlimited.com,"Brunswick, OH",sell to distributors and retail website
,,,
Cable Ties & More,https://www.cabletiesandmore.com,"Hamburg, NY",retail website
Uline,https://www.uline.com,"Chicago, IL",sell a lot of items!  Sell to end users and distributors
ZipTie.com,https://ziptie.com/,"Akron, OH",mainly a retail website but were at the fastener show this year. Do mainly private label bags for retail stores. 
Advanced Cable Ties,https://www.advancedcableties.com,"Gardner, MA",US based manufacturer of cable ties
Cable Ties Plus,https://www.cabletiesplus.com/,"Pembroke,MA",retail website.  Run by Nelco Products
cableties.com,www.cableties.com,"Brunswick,OH",ran by Cable Ties Unlimited
Panduit,https://www.panduit.com,"Tinley Park, IL",high end MFG of cable ties. 
Hellermann Tyton,https://www.hellermanntyton.us,"Milwaukee, WI",high end MFG of cable ties. 
Cambridge Resources,https://cambridgeresources.com,"Aberdeen, NJ",Importer of cable ties. 
Mayhew,www.mayhew.com,"Turner Falls, MA",small US based manufacturer. Growing!
Gardner Bender,https://www.gardnerbender.com/,"New Berlin,WI",Importer of cable ties. 
Avery Dennison,https://fastener.averydennison.com/en/home.html,"Fitchburg, MA",
Nelco Products,https://www.nelcoproducts.com/,"Pembroke,MA",Importer of cable ties. 
ABB,https://new.abb.com/low-voltage/products/wire-cable-management/cable-ties-accessories,"Memphis,TN?",
